OTU.ID	Taxon	Confidence
ASV42	Bacteria;Actinobacteria;Rubrobacteria;Rubrobacterales;Rubrobacteriaceae;Rubrobacter;uncultured Actinomycetales bacterium	0.999984925
ASV43	Bacteria;Actinobacteria;Rubrobacteria;Rubrobacterales;Rubrobacteriaceae;Rubrobacter;uncultured bacterium	0.721004026
ASV44	Bacteria;Acidobacteria;Blastocatellia (Subgroup 4);Pyrinomonadales;Pyrinomonadaceae;RB41	0.99991067
ASV45	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;uncultured;uncultured endolithic bacterium;uncultured endolithic bacterium	0.70262056
ASV46	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Microvirga	0.992836004
ASV47	Archaea;Thaumarchaeota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae;Candidatus Nitrososphaera;unidentified archaeon	0.841803546
ASV48	Bacteria;Actinobacteria;Actinobacteria;Streptomycetales;Streptomycetaceae;Streptomyces	0.999987893
ASV49	Bacteria;Acidobacteria;Subgroup 6	1
ASV50	Bacteria;Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae	0.99998397
ASV51	Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Archangiaceae	0.934819325
ASV52	Bacteria;Actinobacteria;Rubrobacteria;Rubrobacterales;Rubrobacteriaceae;Rubrobacter;uncultured Rubrobacter sp.	0.776148357
ASV53	Bacteria;Actinobacteria;Rubrobacteria;Rubrobacterales;Rubrobacteriaceae;Rubrobacter	1
ASV54	Archaea;Thaumarchaeota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae;Candidatus Nitrososphaera	0.999995213
ASV55	Bacteria;Acidobacteria;Subgroup 6	1
ASV56	Bacteria;Actinobacteria;Rubrobacteria;Rubrobacterales;Rubrobacteriaceae;Rubrobacter;uncultured Actinomycetales bacterium	0.976713261
ASV57	Bacteria;Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Micromonospora	0.838684566
ASV58	Bacteria;Actinobacteria;Rubrobacteria;Rubrobacterales;Rubrobacteriaceae;Rubrobacter;metagenome	0.985957907
ASV59	Bacteria;Actinobacteria;Actinobacteria;Streptomycetales;Streptomycetaceae;Streptomyces	0.999975736
ASV60	Bacteria;Actinobacteria;Thermoleophilia;Gaiellales;uncultured	0.999901854
ASV61	Archaea;Thaumarchaeota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae	0.999964777
ASV62	Archaea;Thaumarchaeota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae;Candidatus Nitrocosmicus	0.843715438
ASV63	Bacteria;Actinobacteria;Actinobacteria;Frankiales;Geodermatophilaceae;Modestobacter	0.989765197
ASV64	Bacteria;Bacteroidetes;Bacteroidia;Chitinophagales;Chitinophagaceae;Ferruginibacter	0.986971486
ASV65	Bacteria;Actinobacteria;Thermoleophilia;Gaiellales;uncultured	0.999876865
ASV66	Bacteria;Verrucomicrobia;Verrucomicrobiae;Chthoniobacterales;Chthoniobacteraceae;Candidatus Udaeobacter	0.999771908
ASV67	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas	0.999307909
ASV68	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;uncultured;uncultured bacterium	0.816450445
ASV69	Bacteria;Actinobacteria;Rubrobacteria;Rubrobacterales;Rubrobacteriaceae;Rubrobacter	1
ASV70	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Microvirga	0.998403608
ASV71	Archaea;Thaumarchaeota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae;Candidatus Nitrososphaera	0.992328973
ASV72	Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Massilia	0.999906849
ASV73	Bacteria;Acidobacteria;Blastocatellia (Subgroup 4);Pyrinomonadales;Pyrinomonadaceae;RB41	0.999846678
ASV74	Archaea;Thaumarchaeota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae	0.999951741
ASV75	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Microvirga	0.982782209
ASV76	Bacteria;Acidobacteria;Blastocatellia (Subgroup 4);Pyrinomonadales;Pyrinomonadaceae;RB41	0.99888541
ASV77	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;uncultured;uncultured soil bacterium	0.763621618
ASV78	Bacteria;Chloroflexi;TK10	1
ASV79	Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium	0.999999322
ASV80	Bacteria;Acidobacteria;Blastocatellia (Subgroup 4);Pyrinomonadales;Pyrinomonadaceae;RB41;uncultured Acidobacteriaceae bacterium	0.803643
ASV81	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae	0.999960034
ASV82	Archaea;Thaumarchaeota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae;Candidatus Nitrososphaera	0.999999895
ASV83	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae	0.999814124
ASV84	Bacteria;Actinobacteria;Rubrobacteria;Rubrobacterales;Rubrobacteriaceae;Rubrobacter;uncultured Actinomycetales bacterium	0.999997557
ASV85	Bacteria;Entotheonellaeota;Entotheonellia;Entotheonellales;Entotheonellaceae;uncultured bacterium;uncultured bacterium	0.825635969
ASV86	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Microvirga	0.996937662
ASV87	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae	0.999962753
ASV88	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Microvirga	0.999845878
ASV89	Bacteria;Actinobacteria;Rubrobacteria;Rubrobacterales;Rubrobacteriaceae;Rubrobacter	1
ASV90	Archaea;Thaumarchaeota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae	0.999999204
ASV91	Bacteria;Chloroflexi;Chloroflexia;Thermomicrobiales;JG30-KF-CM45	1
ASV92	Bacteria;Acidobacteria;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Subgroup 10	0.999999885
ASV93	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas	0.999075387
ASV94	Archaea;Thaumarchaeota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae;Candidatus Nitrocosmicus;uncultured archaeon	0.728702245
ASV95	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Methylobacterium;Methylobacterium oxalidis	0.934013318
ASV96	Archaea;Thaumarchaeota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae;Candidatus Nitrososphaera	0.999999982
ASV97	Bacteria;Gemmatimonadetes;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;uncultured	0.999999993
ASV98	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;uncultured	0.791946169
ASV99	Bacteria;Actinobacteria;Actinobacteria;Frankiales;Geodermatophilaceae;Geodermatophilus	0.998968148
ASV100	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;uncultured;uncultured Rhizobiales bacterium	0.801861895
ASV101	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae	0.999439321
ASV102	Bacteria;Actinobacteria;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Lechevalieria	0.973276721
ASV103	Bacteria;Actinobacteria;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Pseudonocardia	0.998631382
ASV104	Bacteria;Gemmatimonadetes;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;Gemmatirosa;uncultured bacterium	0.978806296
ASV105	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Microvirga	0.998421433
ASV106	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Microvirga;Chelatococcus sp. P-117	0.917400539
ASV107	Bacteria;Actinobacteria;Actinobacteria;Frankiales;Geodermatophilaceae;Modestobacter	0.998974939
ASV108	Bacteria;Chloroflexi;TK10	1
ASV109	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;uncultured bacterium;uncultured bacterium;uncultured bacterium	0.741017858
ASV110	Bacteria;Actinobacteria;Actinobacteria;Kineosporiales;Kineosporiaceae;Angustibacter;uncultured bacterium	0.97901318
ASV111	Archaea;Thaumarchaeota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae;Candidatus Nitrososphaera	0.999998529
ASV112	Bacteria;Actinobacteria;Actinobacteria;Kineosporiales;Kineosporiaceae	0.999871683
ASV113	Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;Solirubrobacter;metagenome	0.805669588
ASV114	Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;Nocardioidaceae;Nocardioides	0.999971217
ASV115	Bacteria;Actinobacteria;0319-7L14;uncultured bacterium;uncultured bacterium;uncultured bacterium;uncultured bacterium	0.992926171
ASV116	Bacteria;Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae	0.999698619
ASV117	Bacteria;Cyanobacteria;Oxyphotobacteria;Nostocales;Phormidiaceae;Tychonema CCAP 1459-11B	0.999235796
ASV118	Bacteria;Acidobacteria;Blastocatellia (Subgroup 4);Pyrinomonadales;Pyrinomonadaceae;RB41	0.999859269
ASV119	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas	0.999995662
ASV120	Archaea;Thaumarchaeota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae;Candidatus Nitrososphaera	0.999999874
ASV121	Bacteria;Proteobacteria;Alphaproteobacteria;Azospirillales;uncultured;uncultured bacterium;uncultured bacterium	0.985410631
ASV122	Bacteria;Acidobacteria;Holophagae;Subgroup 7	0.999999999
ASV123	Bacteria;Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae	0.999996722
ASV124	Bacteria;Chloroflexi;TK10;bacterium Ellin6543;bacterium Ellin6543;bacterium Ellin6543;bacterium Ellin6543	0.869956518
ASV125	Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae	0.999999868
ASV126	Archaea;Thaumarchaeota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae;Candidatus Nitrososphaera;uncultured archaeon	0.849333278
ASV127	Bacteria;Chloroflexi;Ktedonobacteria;C0119;uncultured soil bacterium;uncultured soil bacterium;uncultured soil bacterium	0.891591391
ASV128	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas	0.999410458
ASV129	Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae	0.999999777
ASV130	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae	0.99999918
ASV131	Bacteria;Gemmatimonadetes;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;uncultured;uncultured Gemmatimonadales bacterium	0.803308333
ASV132	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;uncultured;uncultured bacterium	0.871302658
ASV133	Bacteria;Chloroflexi;TK10	1
ASV134	Bacteria;Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae	0.999998828
ASV135	Bacteria;Actinobacteria;0319-7L14;uncultured bacterium;uncultured bacterium;uncultured bacterium;uncultured bacterium	0.961627725
ASV136	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Microvirga	0.99983863
ASV137	Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae	0.999784603
ASV138	Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;TRA3-20	0.999814459
ASV139	Bacteria;Actinobacteria;0319-7L14;uncultured actinobacterium;uncultured actinobacterium;uncultured actinobacterium;uncultured actinobacterium	0.840680891
ASV140	Bacteria;Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae	0.999998612
ASV141	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Microvirga	0.998270367
ASV142	Bacteria;Acidobacteria;Blastocatellia (Subgroup 4);Pyrinomonadales;Pyrinomonadaceae;RB41	0.999826401
ASV143	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Microvirga	0.976179722
ASV144	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Microvirga	0.999438145
ASV145	Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;67-14;metagenome;metagenome	0.828357647
ASV146	Bacteria;Bacteroidetes;Bacteroidia;Chitinophagales;Chitinophagaceae;Flavisolibacter	0.999921636
ASV147	Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;67-14;uncultured actinobacterium;uncultured actinobacterium	0.871420419
ASV148	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Microvirga;uncultured bacterium	0.753407685
ASV149	Archaea;Thaumarchaeota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae;Candidatus Nitrososphaera	0.999999968
ASV150	Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Lautropia	0.998391858
ASV151	Bacteria;Acidobacteria;Holophagae;Subgroup 7;uncultured Acidobacterium sp.;uncultured Acidobacterium sp.;uncultured Acidobacterium sp.	0.704680829
ASV152	Bacteria;Bacteroidetes;Bacteroidia;Chitinophagales;Chitinophagaceae;Ferruginibacter	0.959507061
ASV153	Bacteria;Bacteroidetes;Bacteroidia;Chitinophagales;Chitinophagaceae;Segetibacter;uncultured bacterium	0.982485915
ASV154	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;uncultured	0.99996514
ASV155	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Neo-b11;uncultured bacterium	0.769893463
ASV156	Archaea;Thaumarchaeota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae	0.999928503
ASV157	Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;67-14;uncultured Solirubrobacter sp.;uncultured Solirubrobacter sp.	0.817763141
ASV158	Bacteria;Acidobacteria;Subgroup 6	1
ASV159	Bacteria;Chloroflexi;TK10	1
ASV160	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Rhodoplanes;metagenome	0.702598898
ASV161	Bacteria;Actinobacteria;Rubrobacteria;Rubrobacterales;Rubrobacteriaceae;Rubrobacter;uncultured Rubrobacter sp.	0.856869829
ASV162	Bacteria;Actinobacteria;Rubrobacteria;Rubrobacterales;Rubrobacteriaceae;Rubrobacter;uncultured bacterium	0.753668967
ASV163	Bacteria;Proteobacteria;Alphaproteobacteria;Azospirillales;Azospirillaceae;Skermanella	0.999754837
ASV164	Bacteria;Actinobacteria;Actinobacteria;Frankiales;Geodermatophilaceae;Geodermatophilus;uncultured bacterium	0.792658875
ASV165	Archaea;Thaumarchaeota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae	0.999725415
ASV166	Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;67-14;uncultured Rubrobacteria bacterium;uncultured Rubrobacteria bacterium	0.981809079
ASV167	Bacteria;Chloroflexi;TK10	1
ASV168	Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;bacteriap25;metagenome;metagenome	0.999998942
ASV169	Bacteria;Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae	0.999969902
ASV170	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Microvirga	0.999595354
ASV171	Bacteria;Acidobacteria;Blastocatellia (Subgroup 4);Pyrinomonadales;Pyrinomonadaceae;RB41;uncultured bacterium	0.702034084
ASV172	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae	0.999990303
ASV173	Bacteria;Acidobacteria;Subgroup 6	1
ASV174	Bacteria;Actinobacteria;Rubrobacteria;Rubrobacterales;Rubrobacteriaceae;Rubrobacter	1
ASV175	Bacteria;Actinobacteria;Rubrobacteria;Rubrobacterales;Rubrobacteriaceae;Rubrobacter;uncultured Rubrobacter sp.	0.84059779
ASV176	Bacteria;Actinobacteria;Rubrobacteria;Rubrobacterales;Rubrobacteriaceae;Rubrobacter;metagenome	0.9999274
ASV177	Archaea;Thaumarchaeota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae;Candidatus Nitrososphaera	0.999999979
ASV178	Bacteria;Chloroflexi;Chloroflexia;Kallotenuales;AKIW781	0.999993194
ASV179	Bacteria;Actinobacteria;Rubrobacteria;Rubrobacterales;Rubrobacteriaceae;Rubrobacter;uncultured Rubrobacter sp.	0.771816835
ASV180	Bacteria;Acidobacteria;Blastocatellia (Subgroup 4);Pyrinomonadales;Pyrinomonadaceae;RB41	0.999961631
ASV181	Bacteria;Actinobacteria;Rubrobacteria;Rubrobacterales;Rubrobacteriaceae;Rubrobacter	1
ASV182	Bacteria;Actinobacteria;Actinobacteria;Frankiales;Geodermatophilaceae;Modestobacter	0.994580025
ASV183	Bacteria;Bacteroidetes;Bacteroidia;Chitinophagales;Chitinophagaceae;Segetibacter;uncultured bacterium	0.987216614
ASV184	Bacteria;Proteobacteria;Gammaproteobacteria;Steroidobacterales;Steroidobacteraceae;Steroidobacter	0.948409524
ASV185	Bacteria;Acidobacteria;Blastocatellia (Subgroup 4);Blastocatellales;Blastocatellaceae;Aridibacter;uncultured bacterium	0.864365448
ASV186	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Microvirga	0.98101597
ASV187	Bacteria;Actinobacteria;Rubrobacteria;Rubrobacterales;Rubrobacteriaceae;Rubrobacter;uncultured actinobacterium	0.813104394
ASV188	Bacteria;Acidobacteria;Subgroup 6	1
ASV189	Bacteria;Actinobacteria;Rubrobacteria;Rubrobacterales;Rubrobacteriaceae;Rubrobacter;uncultured Actinomycetales bacterium	0.971236268
ASV190	Bacteria;Gemmatimonadetes;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;uncultured;uncultured Gemmatimonadales bacterium	0.806132164
ASV191	Bacteria;Chloroflexi;KD4-96;uncultured Chloroflexi bacterium;uncultured Chloroflexi bacterium;uncultured Chloroflexi bacterium;uncultured Chloroflexi bacterium	0.701340231
ASV192	Bacteria;Acidobacteria;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Subgroup 10;uncultured soil bacterium	0.910024172
ASV193	Bacteria;Nitrospirae;Nitrospira;Nitrospirales;Nitrospiraceae;Nitrospira	1
ASV194	Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae	0.999996156
ASV195	Archaea;Thaumarchaeota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae;Candidatus Nitrososphaera	0.999999987
ASV196	Bacteria;Proteobacteria;Alphaproteobacteria;Tistrellales;Geminicoccaceae;Geminicoccus;uncultured bacterium	0.7749129
ASV197	Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;bacteriap25;metagenome;metagenome	0.999997046
ASV198	Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;bacteriap25;unidentified;unidentified	0.892380334
ASV199	Archaea;Thaumarchaeota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae;Candidatus Nitrocosmicus	0.748331108
ASV200	Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;Nocardioidaceae;Kribbella	0.999999999
ASV201	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Microvirga	0.988299732
ASV202	Archaea;Thaumarchaeota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae;Candidatus Nitrososphaera;uncultured archaeon	0.79346706
ASV203	Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;67-14	0.989780356
ASV204	Bacteria;Acidobacteria;Blastocatellia (Subgroup 4);Pyrinomonadales;Pyrinomonadaceae;RB41	0.999872396
ASV205	Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae	0.999876583
ASV206	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Microvirga	0.999878311
ASV207	Bacteria;Gemmatimonadetes;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;uncultured;uncultured proteobacterium	0.739461959
ASV208	Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;67-14	0.999999858
ASV209	Bacteria;Chloroflexi;Chloroflexia;Chloroflexales;Chloroflexaceae;FFCH7168;uncultured bacterium	0.999999953
ASV210	Bacteria;Actinobacteria;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Amycolatopsis	0.998773392
ASV211	Archaea;Thaumarchaeota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae	0.999957324
ASV212	Bacteria;Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Asanoa	0.866060168
ASV213	Bacteria;Proteobacteria;Alphaproteobacteria;Elsterales;uncultured;uncultured soil bacterium;uncultured soil bacterium	0.965859096
ASV214	Bacteria;Actinobacteria;Actinobacteria;Frankiales;Geodermatophilaceae;Blastococcus	0.999824828
ASV215	Bacteria;Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae	0.999999169
ASV216	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas	0.99505817
ASV217	Bacteria;Acidobacteria;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Subgroup 10	0.999999937
ASV218	Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Lautropia	0.802887959
ASV219	Bacteria;Bacteroidetes;Bacteroidia;Chitinophagales;Chitinophagaceae;uncultured	0.999717242
ASV220	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus	0.842919078
ASV221	Bacteria;Chloroflexi;TK10;uncultured bacterium;uncultured bacterium;uncultured bacterium;uncultured bacterium	0.999732185
