OTU ID	N1.Rhizo	N10.Rhizo	N11.Rhizo	N12.Rhizo	N13.Rhizo	N14.Rhizo	N15.Rhizo	N16.Rhizo	N17.Rhizo	N18.Rhizo	N19.Rhizo	N2.Rhizo	N20.Rhizo	N21.Rhizo	N22.Rhizo	N23.Rhizo	N24.Rhizo	N25.Rhizo	N26.Rhizo	N27.Rhizo	N28.Rhizo	N29.Rhizo	N3.Rhizo	N30.Rhizo	N31.Rhizo	N32.Rhizo	N33.Rhizo	N34.Rhizo	N35.Rhizo	N36.Rhizo	N37.Rhizo	N38.Rhizo	N39.Rhizo	N4.Rhizo	N40.Rhizo	N41.Rhizo	N42.Rhizo	N43.Rhizo	N44.Rhizo	N45.Rhizo	N46.Rhizo	N47.Rhizo	N48.Rhizo	N49.Rhizo	N5.Rhizo	N50.Rhizo	N51.Rhizo	N52.Rhizo	N53.Rhizo	N54.Rhizo	N55.Rhizo	N56.Rhizo	N57.Rhizo	N58.Rhizo	N59.Rhizo	N6.Rhizo	N60.Rhizo	N61.Rhizo	N62.Rhizo	N63.Rhizo	N64.Rhizo	N65.Rhizo	N66.Rhizo	N67.Rhizo	N68.Rhizo	N7.Rhizo	N8.Rhizo	N9.Rhizo
ASV1010	4	2	1	0	9	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	17	0	0	0	2	0	0	0	0	0	0	7	0	5	0	0	0	0	3	0	0	0	0	56	0	0	0	0	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0
ASV1011	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ASV1012	70	3	0	0	0	0	0	1	1	3	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	2	0	0	0	0	0	1	0	0	5	0	0	0	2	0	0	0	0	0	0	0	13	0
ASV1013	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	2	0	92	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	7	0	0	0	0
ASV1014	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1015	0	0	0	0	0	0	1	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	15	0	0	0	0	0	0	0	0	0	16	0	0
ASV1016	0	0	0	0	0	1	0	1	0	0	0	0	22	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
ASV1018	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1019	0	3	2	13	0	3	0	0	0	0	0	0	3	3	1	0	0	0	0	2	1	11	9	0	3	0	7	0	1	10	0	1	2	5	4	0	0	0	6	7	0	1	0	5	15	0	3	1	1	0	0	0	1	0	1	45	0	0	0	0	0	0	0	2	0	1	0	0
ASV102	41	30	87	153	168	203	22	329	259	21	61	778	186	55	0	78	61	105	41	8	76	38	41	173	593	1	131	25	123	74	614	18	0	95	38	115	40	50	26	50	3	361	4	58	252	79	2	0	940	1	4	24	36	58	125	731	27	1196	20	175	4	54	39	159	122	76	1	225
ASV1020	5	11	3	4	7	6	57	0	0	1	4	9	13	3	5	0	6	4	2	4	12	12	9	17	4	3	2	0	13	0	2	0	0	1	3	1	0	1	4	6	0	1	0	5	1	1	0	2	2	2	0	0	2	1	3	31	3	7	8	1	4	0	0	10	0	4	6	11
ASV1021	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	6	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	3	0	10	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	5
ASV1022	1	0	0	0	0	10	104	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	3	0
ASV1023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	40	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1024	0	0	0	0	0	0	0	1	0	0	8	5	0	0	0	4	0	0	0	0	0	1	9	0	0	0	2	0	6	0	3	0	0	3	0	0	6	0	0	0	0	0	0	0	0	0	17	0	17	0	0	0	0	0	0	0	0	0	1	2	0	1	0	11	0	2	0	0
ASV1025	1	0	0	1	0	2	1	1	1	2	0	6	46	0	0	2	0	1	0	0	1	0	0	0	0	10	0	0	5	1	0	0	0	0	0	1	0	0	5	1	0	0	0	0	0	16	0	0	0	0	1	0	6	0	1	0	0	0	1	0	0	0	0	9	0	1	0	12
ASV1026	0	7	1	0	31	0	0	0	0	0	0	1	25	0	0	0	5	0	0	0	10	0	0	2	0	0	0	0	13	8	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	5	0	0	1	6	2	0	2	0	0	3	0	0	0	0	0	0	0	7	7	0	0	4
ASV1027	0	0	1	0	6	4	0	0	2	0	0	7	13	0	6	0	0	5	0	5	0	1	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	2	2	1	0	0	0	0	9	8	0	0	17	3	0	5	0	0	0	0	25	0	0	0	0	0	0	5	0	0	2	5
ASV1028	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	4	14	2	21	0	0	3	10	0	19	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	18	0	0	0	15
ASV1029	0	67	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	4	0	0	0	0	0	1	0	19	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	7	20	0	30	0	0	0	1	0	0	0	0
ASV103	11	2	1	92	51	237	271	1	0	38	0	1	8	0	0	0	39	0	0	11	53	166	1	4	2	33	1	52	17	222	2	186	73	0	83	20	0	15	205	260	6	53	1	1	4	45	0	0	50	68	3	35	18	2	13	648	3	143	3	0	0	92	0	187	208	2	0	69
ASV1030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	3	2	4	0	1	0	0	5	1	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	6	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	39	0	0	25
ASV1032	0	34	0	0	0	28	0	0	0	0	0	0	0	5	0	0	0	0	0	0	51	0	0	0	0	0	0	0	9	0	0	0	0	4	0	0	13	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	44	0
ASV1033	0	0	0	9	0	0	0	0	4	0	0	0	26	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	3	0	0	0	2	0	2	0	0	4	0	0	0	0	21	0	0	0	0	0	14	0	0	0	0	2	3	0	27	0	2	3	0	0	0	20	0	0	0	0
ASV1034	4	5	5	4	2	1	8	5	2	3	2	1	6	5	2	1	0	8	1	2	4	4	1	7	4	1	1	1	1	4	9	5	2	1	0	1	3	8	2	3	1	3	1	3	5	0	2	1	4	3	1	3	3	1	9	7	2	4	0	9	0	5	0	5	5	2	5	5
ASV1035	3	0	0	0	0	0	0	0	4	0	0	0	63	11	0	0	5	0	0	0	0	0	0	5	0	0	0	4	0	0	0	0	0	0	0	0	0	0	16	0	0	19	0	0	0	0	0	0	1	0	0	0	0	0	0	14	0	0	0	0	2	0	0	13	0	0	1	0
ASV1036	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	6	0	0	0	0	3	0	0	0	0	0	0	48	0	0	0
ASV1037	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0
ASV1038	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1	0	60	0	0	0	1	0	0	0	0	15	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0
ASV1039	2	0	0	0	0	0	0	0	0	0	0	0	1	26	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	21	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0
ASV104	3	10	98	24	180	66	161	125	12	27	59	8	34	414	0	17	0	4	25	184	241	278	24	14	11	1	68	28	0	79	165	36	15	60	52	235	26	489	14	5	66	0	0	47	252	46	51	17	96	0	0	78	95	20	61	398	1	43	257	160	17	1	28	103	235	208	11	76
ASV1040	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	20	4	0	0	0	0	2	0	0	0	0	0	49	0	0	0	0	19	0	0	0	0	0	8	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0
ASV1041	0	0	0	0	0	1	0	1	0	0	0	0	0	2	1	0	0	0	94	12	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	19	0	0	0	0	0	0	0	0
ASV1042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1043	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1044	28	35	0	5	0	4	0	0	0	0	1	2	23	0	0	0	20	0	0	0	0	0	0	0	6	0	1	0	0	6	1	4	0	0	2	19	0	3	70	0	2	0	0	7	0	16	1	0	2	0	50	5	0	0	29	0	48	0	0	0	0	0	1	14	39	0	0	15
ASV1045	0	5	0	0	51	28	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	28	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	6	8	0	0	0	0	0	0	0	0	4	0	0	11	0	0	0	0	0	0	0	0
ASV1047	0	2	0	0	0	5	0	0	0	0	0	0	0	6	0	0	0	1	0	0	79	0	5	0	0	5	4	0	0	1	1	4	6	0	0	0	12	0	0	0	0	13	3	0	0	4	0	0	3	0	0	1	0	0	0	0	6	0	0	0	0	0	0	3	1	0	0	0
ASV1048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1049	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	5	0	0	37	0	0	73	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0
ASV105	13	204	2	801	36	0	12	9	1	5	23	17	41	19	34	17	15	36	1	8	16	23	2	31	834	0	0	2	4	4	14	1089	0	4	54	12	24	49	68	16	7	29	0	1	17	61	12	0	5	17	18	43	16	1	11	1	30	23	30	22	9	0	1	8	21	9	0	27
ASV1050	0	0	0	4	0	0	0	5	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	6	4	0	23	0	0	0	2	0	0	0	0	102	1	0	0	0	0	0	3	0	1	0	9	9	0	0	0
ASV1051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1052	19	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	1	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	8
ASV1053	1	2	0	0	0	0	0	0	1	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	136	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1054	0	8	14	0	4	4	7	1	0	0	0	0	0	0	0	3	3	0	0	0	5	1	0	14	2	0	0	0	30	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	5	0	0
ASV1055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	111	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ASV1056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0
ASV1057	10	2	14	1	9	1	0	0	0	0	0	0	1	0	0	0	0	3	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	1	1	0	0	0	0	2	0	8	0	0	1	0	0	1	0	0	0	45	6	0	0	0	0	0	0	1	1	0	9	2
ASV1058	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	68	0	4	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	3	0	0	0	0	0	0	0	0	0	0	18	0	0	0
ASV1059	0	0	0	0	0	0	0	47	0	0	0	0	0	0	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	17	0	0	0	0	0	20	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	5	0	0	2
ASV106	283	97	2047	0	166	16	0	2	0	0	0	0	20	2	1	140	1	0	1	0	0	0	1	343	1	0	1	3	13	1	0	1	0	7	66	1	0	2	81	232	271	0	0	1	14	41	39	1	45	1	150	3	0	168	0	2	85	39	0	0	0	1	0	1	0	0	0	0
ASV1060	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	88	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	27	0	0	0	0	0	1	0	0
ASV1061	0	0	0	0	7	0	0	7	0	25	0	0	0	4	0	5	0	0	0	0	0	0	1	0	4	2	1	0	0	0	2	0	1	0	0	0	1	0	16	0	0	23	2	0	1	1	3	0	4	0	0	0	6	1	0	0	0	8	0	0	0	0	1	0	11	3	0	0
ASV1062	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ASV1063	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	21	0	0	0	0	0	0	0	0	0	0
ASV1064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105
ASV1065	0	0	0	1	9	0	1	0	0	0	1	0	0	0	0	0	4	0	0	0	17	11	0	0	0	1	0	14	16	0	0	0	2	0	17	7	0	1	0	0	0	0	0	0	0	0	0	0	5	6	0	0	0	0	5	0	0	0	0	0	0	0	0	44	0	5	0	0
ASV1066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ASV1067	0	4	3	1	0	0	3	11	0	0	0	0	16	5	0	4	0	0	0	14	0	0	4	0	18	0	2	0	0	3	0	0	0	0	0	2	0	0	1	0	9	1	0	2	0	0	0	0	0	0	2	0	0	0	8	0	1	0	0	0	0	0	0	0	0	5	0	1
ASV1068	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	71	0	0	0	0	0	9	0	9	0	0	0	1	0	0	0	0	0	0	0
ASV1069	0	0	0	0	4	0	27	0	0	1	1	0	3	61	0	0	0	0	1	16	7	0	0	8	0	15	3	0	1	1	1	4	0	17	0	1	1	38	0	73	20	0	0	0	0	0	26	0	1	2	9	1	6	2	19	0	46	11	4	16	1	28	3	7	15	0	0	9
ASV107	2	1	1	9	1	0	470	0	2	3	1	20	3	298	0	2	1	0	0	20	86	762	7	0	0	0	0	3	0	1	8	0	0	5	4	41	6	5	76	6	0	60	0	0	1	9	0	0	81	30	39	2	2	5	40	4	1876	29	4	9	6	12	3	0	1	3	0	0
ASV1070	3	5	1	3	37	4	0	0	0	1	0	2	4	0	0	0	0	0	0	16	2	0	0	0	0	0	0	1	0	0	0	3	0	6	7	0	0	0	0	0	4	0	0	2	0	3	0	11	0	0	0	4	0	0	0	0	12	0	0	0	0	0	0	46	0	1	0	0
ASV1071	0	4	1	2	0	1	2	12	2	3	4	0	0	1	2	4	4	4	0	0	1	2	8	4	0	7	4	0	0	1	10	0	0	2	1	1	0	9	6	31	2	0	0	2	6	2	0	6	0	0	0	0	0	6	4	4	0	9	0	1	0	6	0	0	0	3	0	0
ASV1072	1	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	9	0	0	3	0	0	0	0	0	8	0	0	0	6	0	3	0	0	0	0	0	3	0	0	0	25	0	0	5	0	0	0	0	0	0	0	16	0	0	0	0	10	16	0	0	1	0	0	0	4	1	4
