OTU.ID	N1.Rhizo	N10.Rhizo	N11.Rhizo	N12.Rhizo	N13.Rhizo	N14.Rhizo	N15.Rhizo	N16.Rhizo	N17.Rhizo	N18.Rhizo	N19.Rhizo	N2.Rhizo	N20.Rhizo	N21.Rhizo	N22.Rhizo	N23.Rhizo	N24.Rhizo	N25.Rhizo	N26.Rhizo	N27.Rhizo	N28.Rhizo	N29.Rhizo	N3.Rhizo	N30.Rhizo	N31.Rhizo	N32.Rhizo	N33.Rhizo	N34.Rhizo	N35.Rhizo	N36.Rhizo	N37.Rhizo	N38.Rhizo	N39.Rhizo	N4.Rhizo	N40.Rhizo	N41.Rhizo	N42.Rhizo	N43.Rhizo	N44.Rhizo	N45.Rhizo	N46.Rhizo	N47.Rhizo	N48.Rhizo	N49.Rhizo	N5.Rhizo	N50.Rhizo	N51.Rhizo	N52.Rhizo	N53.Rhizo	N54.Rhizo	N55.Rhizo	N56.Rhizo	N57.Rhizo	N58.Rhizo	N59.Rhizo	N6.Rhizo	N60.Rhizo	N61.Rhizo	N62.Rhizo	N63.Rhizo	N64.Rhizo	N65.Rhizo	N66.Rhizo	N67.Rhizo	N68.Rhizo	N7.Rhizo	N8.Rhizo	N9.Rhizo
ASV15229	0	0	2	1	1	0	1	5	1	3	1	0	0	0	0	2	1	3	2	1	3	1	2	0	1	0	0	0	1	0	1	3	0	0	2	1	1	2	0	0	0	0	1	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	2	0	1
ASV1523	3	0	4	1	12	7	7	27	23	20	2	8	2	2	7	7	1	9	11	11	6	12	13	7	8	11	25	12	10	1	20	6	6	8	6	1	6	3	5	1	4	2	3	18	14	6	17	22	2	4	0	4	7	5	2	4	0	9	9	8	7	5	0	5	1	3	3	0
ASV15230	1	0	0	0	1	1	1	1	0	1	0	0	6	3	0	0	0	0	0	1	1	0	1	1	0	0	0	0	3	0	0	0	0	0	0	1	0	1	0	1	0	2	0	0	0	1	0	0	6	0	0	2	1	0	1	0	2	0	0	1	1	1	0	2	1	1	1	0
ASV15231	1	1	0	0	3	1	1	2	1	1	2	1	1	0	3	5	0	2	3	1	1	0	0	1	1	0	2	0	0	1	0	1	0	0	0	2	1	1	2	1	0	1	2	3	2	1	1	6	0	0	0	2	0	0	2	1	2	2	1	1	0	2	1	0	0	0	1	1
ASV15232	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	10	0	0	3	1	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0
ASV15233	0	0	0	1	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	1	1	1	2	0	0	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	4
ASV15234	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	2	0	5	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	2	0	0	1	1	0	1
ASV15235	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	4	2	1	0	0	1	0	3	0	2	0	0	2	0	0	0	2	2	1	0	0	1	1	1	0	2	4	0	2	1	0	2	1	2	0	0	0
ASV15236	0	0	0	0	1	2	0	0	0	0	0	1	0	0	2	0	0	0	1	0	1	1	0	2	1	1	0	0	0	0	0	1	0	1	0	1	1	0	1	2	0	0	0	2	1	1	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ASV15237	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	3	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	5	0	1	0	0	5	0	0	0	0	2	0	0
ASV15238	0	0	0	2	0	0	2	0	0	0	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0	0	1	0	0	0	0	3	0	0
ASV15239	0	0	0	0	1	0	1	0	2	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	2	0	1	0	1	0	0	1	0	1	0	0	2	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0
ASV1524	21	3	10	15	3	9	0	7	1	2	5	12	7	8	3	8	1	2	11	2	5	9	1	12	1	2	1	6	6	5	2	15	4	5	0	2	8	23	7	2	3	7	6	1	1	13	1	2	10	5	0	11	26	11	2	3	4	5	26	19	2	1	6	2	12	3	5	8
ASV15240	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	1	2	1	0	0	0	0	0	0	0	3	0	0	0	3	0	0	1	0	0	0
ASV15241	1	1	0	0	0	0	0	0	0	0	0	3	2	1	0	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	3	1	0	1	1	2	2	0	0	0	1	0	2	0	0	1	0	0	0	1	2	0	0	1	0	3	0	0	1	3	0	0	0	1	0
ASV15242	0	0	0	0	1	2	0	0	1	1	1	0	1	1	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	1	1	0	1	0	2	2	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	2	1	0	1	0	1
ASV15243	0	0	0	3	3	1	0	0	0	0	0	1	2	0	0	0	1	1	0	3	1	1	0	1	0	1	0	2	2	1	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	2	7	0	0	2	0	1	1	0	1	0	0	1	0	1	0	1	1	1	0	0
ASV15244	0	0	6	0	1	0	0	2	0	1	0	0	0	2	1	0	0	0	1	1	1	0	1	1	0	0	2	2	0	0	0	1	2	1	2	0	0	1	0	0	0	0	0	4	3	0	0	5	0	0	0	0	2	2	1	0	0	0	1	0	0	0	1	0	0	1	0	1
ASV15245	0	0	0	1	0	5	0	0	0	0	3	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	1	0	3	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0
ASV15246	3	7	0	0	0	2	1	0	2	0	0	1	5	0	1	1	1	3	1	1	1	0	1	0	1	1	4	0	2	3	0	1	0	1	0	0	0	0	0	1	0	3	0	0	0	3	0	0	2	0	0	0	0	2	0	0	0	1	0	0	0	0	0	2	0	3	1	0
ASV15247	2	0	2	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
ASV15248	1	3	0	0	2	1	4	0	2	0	3	0	3	1	0	0	0	2	1	1	0	1	0	1	2	0	1	1	0	0	2	1	0	1	0	0	1	0	0	1	0	1	2	1	2	1	0	0	1	2	0	0	1	0	0	3	1	0	0	1	0	0	0	0	0	1	0	0
ASV15249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0
ASV1525	11	10	33	13	13	12	38	37	14	32	15	15	9	23	31	26	6	40	26	14	23	32	36	17	20	30	32	17	15	20	8	29	13	13	1	22	12	25	32	24	20	25	16	29	16	21	26	40	25	37	0	23	26	33	35	18	27	13	31	20	21	31	14	14	19	12	16	26
ASV15250	1	0	0	0	1	2	0	3	1	0	1	1	0	0	1	4	1	1	5	1	1	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
ASV15251	0	0	0	3	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	2	1	3	0	0	0	1	0	1	0	0	0	0	1	3	0	2	3	0	0	0	0	1	0	0	1	2	0	2	1	1	1	0	0	0	1	0	1	2	0	0	2	0	1	0
ASV15252	0	3	1	0	2	1	0	0	3	0	1	2	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0	0	2	1	0	0	0	0	0	2	0	4	2	1	1	1	0	0	0	0	1	0	3	0	0	1	0	0	0	2	1	0	2	0
ASV15253	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	2	0	0	3	2	2	1	0	0	1	4	0	0	0	0	0	4	0	0	0	0	2	0	0	0	2	3	2	0	0	0	1	0	0	0	2	0	0	0	0	0
ASV15254	0	0	1	0	0	1	0	0	0	0	2	0	0	0	1	0	1	0	0	0	2	0	0	0	1	1	0	0	0	0	0	1	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	3	0	0	0	0	0	0	0	1	0	1	0	0
ASV15255	0	1	0	0	0	0	1	1	0	1	0	1	0	0	0	0	2	1	1	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0
ASV15256	0	0	0	8	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	4	0	0	3	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
ASV15257	0	0	1	0	0	1	1	0	1	0	1	2	0	0	0	1	2	1	0	2	0	0	0	1	0	2	4	5	0	1	0	3	1	0	1	0	0	0	0	1	1	0	0	1	0	1	2	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	2	0	0	1	0
ASV15258	0	0	2	1	0	0	0	7	0	2	0	0	0	0	0	2	0	0	0	0	0	0	2	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0
ASV15259	0	0	1	0	0	0	0	0	4	1	1	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	3	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	1	0	0	3	0	2	0	1	1	2	0	1	0	0	0	0	0	0	0	0	0	1	1	0
ASV1526	7	1	5	7	8	5	4	3	3	4	10	12	25	17	6	1	3	3	11	7	3	5	1	9	6	1	2	5	17	10	4	4	4	7	4	2	6	6	12	3	8	7	1	8	0	9	2	1	26	19	0	7	4	8	22	2	8	7	6	12	3	5	11	2	10	1	3	11
ASV15260	0	0	0	0	0	0	4	0	0	5	0	0	0	0	0	1	0	0	0	2	0	0	5	0	0	0	0	0	0	0	0	7	0	1	0	1	0	0	0	0	0	4	2	0	0	0	0	0	0	1	0	0	15	0	0	3	0	0	0	3	0	2	0	0	1	0	0	0
ASV15261	0	0	0	2	1	7	0	0	2	0	0	1	1	3	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	1	1
ASV15262	1	1	0	0	2	0	0	1	0	1	0	1	1	1	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	2	2	2	0	0	0	1	1	0	0	0	0	0	0	1	1	1	0	1	1	1	2	3	0	1	0	1	0	2	1	0
ASV15263	1	1	0	0	1	1	0	0	0	0	1	2	0	1	0	0	2	0	0	0	4	0	0	0	1	1	0	1	1	3	0	0	1	0	1	1	0	1	0	0	0	1	0	1	2	0	0	0	3	4	0	1	0	1	0	0	3	0	0	1	0	0	0	0	0	0	0	0
ASV15264	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	1	1	0	0	0	3	0	1	0	0	1	1	1	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	7	0	0
ASV15265	0	0	0	1	0	0	0	0	0	0	0	0	2	1	0	0	0	2	0	0	2	1	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	3	0	0	1	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0
ASV15266	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	10	0	1	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	1
ASV15267	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	9	0	5	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0
ASV15268	2	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	1	0	0	0	1	1	0	0	0	1	0	0	2	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	0	0	0	0	1	0	0	0	1	0	0	6	0	0	0	0	0	0	0
ASV15269	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	3	1	0	0	0	0	0	0	0	1	1	0	0	4	0	0	0	0	0	0	2	0	0	0	1	4	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ASV1527	8	6	11	11	3	4	13	10	4	8	2	1	7	8	2	1	6	6	3	10	14	8	10	5	17	10	9	5	16	14	2	10	6	7	3	5	3	5	4	7	9	9	14	12	2	4	7	9	3	18	0	6	6	8	4	3	2	5	6	7	7	19	11	7	9	13	1	10
ASV15270	0	4	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	2	1	2	0	0	1	0	0	0	1	0	2	6	1	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0
ASV15271	0	4	5	0	0	0	1	2	1	1	1	0	0	1	0	0	0	1	0	1	2	4	1	0	0	0	2	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	2	0	0	0	1	2	0
ASV15272	0	0	0	0	0	0	0	0	0	0	0	1	10	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	11	4	0	2	1	0	1	1	2	0	0	0	0	0	0	1	0	2	0	0
ASV15273	0	0	3	0	1	1	0	2	0	4	1	0	4	0	0	0	1	1	0	0	0	1	0	0	1	0	0	1	1	0	2	0	1	0	0	0	5	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	1	0	1	1	0	0
ASV15274	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	9	0	0	0	0	1	2	2	0	0	0	0	0	0	1	0	3	1	1	2	0	0	1	0	3	0	1	0
ASV15275	0	0	0	1	0	0	0	0	0	0	0	1	0	4	0	0	1	0	0	0	3	0	3	0	0	2	0	1	0	0	0	0	4	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1
ASV15276	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	8	0	0	4	0	0	0	0	0	0	0	0	0	4	0	0
ASV15277	0	0	0	0	0	3	0	0	0	0	2	1	6	1	0	0	0	1	0	0	3	0	0	0	0	1	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ASV15278	0	0	0	0	1	1	1	2	3	1	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ASV15279	0	6	0	1	0	1	1	1	0	0	1	1	1	0	0	2	4	1	0	0	1	2	0	0	1	2	1	0	1	1	0	0	1	1	0	0	0	2	2	0	0	0	0	0	1	0	3	0	1	1	0	0	0	2	0	1	0	1	1	2	0	0	1	0	0	2	0	0
ASV1528	5	0	0	5	0	1	0	4	4	11	0	1	1	4	5	10	1	7	9	18	2	6	6	24	1	19	13	1	4	0	10	6	5	2	0	10	3	4	5	18	37	5	16	1	5	0	29	25	12	3	0	18	15	0	3	0	3	39	5	23	4	20	6	1	34	4	2	4
ASV15280	0	0	0	0	0	0	0	0	0	0	4	3	2	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	2	0	2	0	1	2	0	0	0	2	0	2	2	0	1	0	0	0	0	0	0	1	1	0	0	2	0	0	0	4	0	0	2	0
ASV15281	0	1	0	0	1	1	0	0	0	0	11	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0
ASV15282	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	2	1	0	2	0	0	0	0	4	0	1	0	2	1	0	2	0	0	0	0	1	0	2	0	0	0	7	0	0	0	0	0	0	6	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0
ASV15283	0	0	0	0	2	0	3	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	4	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	3	1	0	0	0	0	0	0	1	0	0	4	0	1	4	0	0	1	0	0	0
ASV15284	0	0	0	2	1	2	0	0	0	3	0	0	0	0	2	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ASV15285	0	0	3	0	0	0	0	0	0	0	1	0	0	1	0	0	5	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	3	0	0	0	0	0	0
ASV15286	0	0	2	1	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	7	1	2	2	1	0	1	1	0	3	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	5	0	0	0	0	0	0	1	0	0	0	1	0	0
ASV15287	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	2	0	0	2	1	1	0	0	3	2	0	0	0	2	0	0	0	0	0	1	0	0	0	7	0	0	0	0	4	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0
ASV15288	0	0	0	1	0	0	0	0	1	2	1	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	2	0	1	1	1	0	0	0	2	1	2	0	0	0	1	0	0	2	0	0	2	1	0	3	1	2	1	1	1	1	1	0	0	1	0	0	0	0	1	1
ASV15289	1	0	1	0	0	0	1	0	0	3	0	1	0	1	0	2	0	0	0	1	0	0	0	1	2	1	1	1	1	1	0	0	0	1	0	0	0	0	2	0	3	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0
ASV1529	2	2	0	14	1	4	19	0	2	2	15	1	4	1	12	0	6	9	0	1	27	32	1	1	4	65	3	0	3	8	12	5	38	0	0	5	0	8	5	3	0	27	14	0	0	0	0	9	15	22	0	6	12	3	0	9	2	0	8	0	34	0	1	0	2	6	0	0
ASV15290	0	1	0	0	0	1	0	0	1	0	0	1	3	0	0	0	1	0	0	0	1	3	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	2	1	0	4	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0
ASV15291	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	4	0	2	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	3	4	1	1	0	0	2	0	0	2	0	0	0	0	0	2	0	1	0	0	0	0	1	2	1	5	0	0	0
ASV15292	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	1	2	0	0	0	2	0	1	2	1	0	0	0	1	1	0	0	2	0	0	1	1	11	1	0	0	0	0	7	3	0	0	0	1	0	0	0	0	0	1	1	1	0	2	0	0	3	0	0	2
ASV15293	0	1	1	1	1	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	3	0	1	0	0	0	2	0	0	1	0	0	0	0	1	0	2	0	1	0	2	0	1	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0
ASV15294	2	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	4	1	0	1	2	0	0	1	0	1	0	0	0	2	0	1	0	1	0	4	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
ASV15295	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	14	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ASV15296	0	3	0	2	0	4	1	0	2	0	0	2	0	3	0	0	1	2	0	0	1	2	1	1	0	2	1	0	0	5	1	1	0	0	1	0	0	1	2	1	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	1	1	2	0	0	0	0	1	0	0	0	0	1
ASV15297	2	2	2	0	1	0	0	0	0	0	0	0	1	1	1	1	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	1	0	0	1	0	0	2	0	0	2	0	0	0	1	0
ASV15298	1	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	4	0	1	1	0	0	0	1	0	0	0	5	0	1	0	2	0	0	0	2	0	2
ASV15299	1	1	0	0	0	0	0	0	0	0	1	3	2	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	1	2	1	0	2	0	0	0	0	0	0	3	0	0	6	0	0	0	0	1	1	0	3	0	0	0	0	0	0	0	0	0	1	0
ASV153	63	10	15	44	38	27	93	81	41	103	28	18	12	7	67	93	62	107	77	89	89	55	22	51	77	27	39	11	4	61	70	105	82	14	31	105	6	79	55	66	120	121	62	50	47	45	100	37	29	52	0	52	89	27	12	80	11	75	90	43	70	101	14	10	81	51	23	99
ASV1530	5	2	11	8	7	9	4	18	3	5	4	5	6	7	14	8	2	6	8	6	9	22	5	2	9	5	7	9	5	12	16	7	4	5	3	5	4	10	5	9	4	14	5	8	5	7	5	5	10	8	1	5	4	8	10	23	9	6	10	8	3	1	8	7	5	3	11	13
ASV15300	0	0	0	0	0	1	0	0	1	0	1	1	1	1	1	0	1	1	0	0	1	0	0	0	0	0	2	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	2	0	0	0	2	0	0	0	1	0	0	1	0	0	2	3	0	1	1	0
ASV15301	0	1	0	0	0	1	1	0	0	2	0	0	0	0	0	1	0	0	2	0	1	0	1	0	1	0	1	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0	0	4	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
ASV15302	0	0	0	0	3	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	1	0	0	0	12	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	6	0	1	0	0	0	1	1	0	2	0
ASV15303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	5	0	0	0	0	0	3	2	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
ASV15304	0	1	1	0	1	0	0	0	1	2	0	1	1	0	1	4	0	1	0	1	0	1	1	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	4	0	0	1	1	0	0	0	0	1	1	1	0	0	0	0	1	0	3	0
ASV15305	0	1	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0	7	0	0	0	0	0	0	1	1	3	0	2	1	1	0	0	0	0	2	0	0	2	0	0	0	0	0	3	0	0	1	0
ASV15306	0	0	0	0	1	0	0	0	0	0	0	0	1	0	9	0	0	0	0	1	0	0	0	5	0	1	0	0	0	1	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ASV15307	1	0	0	5	1	0	1	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	3	2	0	0	4	0	0	0	3	3	0	2	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	2	1	10	0	0	2	2	0	1
ASV15308	0	0	0	0	0	0	1	0	0	1	1	2	0	1	2	0	0	1	0	1	0	0	3	0	0	0	0	0	2	0	1	2	0	1	0	0	1	0	3	0	0	1	0	0	0	0	1	0	1	0	0	0	2	0	1	0	0	1	0	1	1	0	1	0	0	1	0	0
ASV15309	0	1	0	0	0	1	0	0	0	1	3	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	2	0	0	0	1	0	0	0	0	0	1	1	0	2	0	0	0	1	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ASV1531	7	4	9	1	18	6	4	12	7	9	11	10	6	3	6	3	4	20	13	2	5	10	0	8	1	8	10	5	5	11	17	9	6	11	8	3	3	5	9	5	4	3	2	14	4	6	6	2	11	6	0	4	4	7	2	10	3	3	4	7	5	2	7	5	3	2	10	5
ASV15310	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	3	0	2	1	0	0	0	0	2	1	0	0	0	0	0	1	0	1	0	0	1	1	4	0	1	0	0	3	1
ASV15311	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	2	1	0	0	1	2	1	0	0	0	0	0	1	0	0	2	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0
ASV15312	0	6	0	0	0	0	1	0	1	0	1	1	1	0	0	0	3	2	0	3	1	0	0	1	0	1	0	0	0	0	2	0	0	0	1	0	0	2	1	0	2	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0
