OTU.ID	N1.Rhizo	N10.Rhizo	N11.Rhizo	N12.Rhizo	N13.Rhizo	N14.Rhizo	N15.Rhizo	N16.Rhizo	N17.Rhizo	N18.Rhizo	N19.Rhizo	N2.Rhizo	N20.Rhizo	N21.Rhizo	N22.Rhizo	N23.Rhizo	N24.Rhizo	N25.Rhizo	N26.Rhizo	N27.Rhizo	N28.Rhizo	N29.Rhizo	N3.Rhizo	N30.Rhizo	N31.Rhizo	N32.Rhizo	N33.Rhizo	N34.Rhizo	N35.Rhizo	N36.Rhizo	N37.Rhizo	N38.Rhizo	N39.Rhizo	N4.Rhizo	N40.Rhizo	N41.Rhizo	N42.Rhizo	N43.Rhizo	N44.Rhizo	N45.Rhizo	N46.Rhizo	N47.Rhizo	N48.Rhizo	N49.Rhizo	N5.Rhizo	N50.Rhizo	N51.Rhizo	N52.Rhizo	N53.Rhizo	N54.Rhizo	N55.Rhizo	N56.Rhizo	N57.Rhizo	N58.Rhizo	N59.Rhizo	N6.Rhizo	N60.Rhizo	N61.Rhizo	N62.Rhizo	N63.Rhizo	N64.Rhizo	N65.Rhizo	N66.Rhizo	N67.Rhizo	N68.Rhizo	N7.Rhizo	N8.Rhizo	N9.Rhizo
ASV10006	7	1	0	1	5	0	2	2	2	1	0	2	1	0	0	0	1	3	0	0	0	0	0	3	1	0	3	1	0	0	0	0	0	1	1	1	0	0	1	1	1	2	0	0	0	1	0	0	2	0	0	0	0	0	1	0	1	2	1	0	1	0	1	1	1	0	1	1
ASV10007	3	0	1	1	2	1	0	1	5	2	0	4	1	2	1	1	0	0	0	0	1	1	0	1	0	0	2	5	1	0	2	1	0	4	0	1	2	1	0	0	0	0	0	4	1	0	0	0	1	0	0	1	0	1	0	0	0	2	0	2	1	0	1	0	0	1	1	1
ASV10008	0	2	1	0	0	1	0	0	3	0	0	1	0	2	1	0	0	0	1	0	0	0	0	2	0	0	1	0	2	1	0	0	1	2	3	0	8	0	1	1	0	0	0	2	0	1	0	1	3	2	0	3	0	0	2	0	1	0	0	3	0	0	0	3	0	0	5	0
ASV1001	10	3	25	14	6	14	25	16	3	10	11	1	0	4	9	10	6	25	22	20	17	29	8	8	23	4	21	6	6	17	11	11	9	16	8	7	4	24	15	8	10	5	1	14	17	10	7	9	1	6	0	6	14	17	7	24	0	3	17	2	11	5	1	6	13	26	7	16
ASV10010	0	1	1	3	2	1	1	0	2	0	1	3	2	0	0	0	0	0	4	0	0	0	0	0	1	0	0	1	1	1	3	0	0	0	2	0	0	0	4	0	0	0	0	0	0	6	0	0	4	0	0	1	0	4	0	1	9	0	0	2	1	0	2	2	0	0	0	0
ASV10011	2	0	0	2	0	0	1	1	0	0	1	1	7	2	0	1	3	2	1	0	2	2	0	1	1	0	0	0	1	0	2	0	2	1	0	1	0	0	0	0	0	2	0	0	0	1	0	1	2	1	0	1	0	0	0	1	0	2	2	0	0	0	0	0	4	1	0	2
ASV10012	0	0	1	0	2	2	1	6	0	2	2	3	0	1	1	4	0	2	3	2	3	6	0	1	7	0	2	0	0	0	0	0	0	1	0	0	0	0	2	1	1	1	0	0	3	2	1	0	0	0	0	0	0	1	0	0	2	1	2	1	0	0	1	0	2	0	0	0
ASV10013	1	0	0	0	0	1	1	1	2	1	1	0	0	0	1	0	0	1	4	1	0	1	0	0	1	0	0	1	0	0	0	0	2	1	1	1	2	1	0	1	1	2	2	0	2	0	2	1	0	0	0	1	1	0	0	0	0	5	0	2	1	1	3	0	0	1	0	1
ASV10014	0	0	1	0	3	5	0	0	0	0	5	0	0	1	1	0	0	0	0	0	0	3	0	0	0	1	0	1	1	1	2	0	2	1	0	3	2	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	5	0	2	0	2	1
ASV10015	4	0	2	0	0	0	1	2	0	2	0	0	0	1	0	0	0	1	0	4	0	1	0	0	4	0	2	1	1	3	0	0	0	4	0	3	0	2	2	0	0	0	0	3	0	0	0	0	0	2	0	0	1	0	0	0	1	0	2	0	0	6	1	0	0	0	0	0
ASV10016	0	0	0	2	1	0	0	0	1	1	0	0	1	1	0	0	0	1	1	0	0	0	0	1	0	0	2	2	0	1	3	3	0	0	2	0	0	0	1	1	1	1	0	1	2	0	1	1	3	1	0	1	1	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0
ASV10017	2	0	0	0	0	2	4	0	2	0	1	0	0	0	5	2	1	3	0	3	6	2	1	0	2	2	1	0	0	0	3	1	1	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	3	2	0	2	2	0	1	0	1	0	1	3	0	1
ASV10018	0	2	1	1	0	1	1	0	1	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	3	2	0	0	1	1	0	1	2	0	0	0	0	2	0	0	0	1	1	3	0	0	0	0	2	4	0	0	3	0	0	1	1	0	0	3	0	0
ASV10019	5	0	0	1	0	0	1	0	0	0	0	0	0	4	0	16	0	0	2	0	0	0	3	3	0	1	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	3	0	0	2	0	0	0	0	1	0	2	0	0	0	2	0	0	0	0	0
ASV1002	10	1	18	12	19	8	2	16	9	13	8	10	4	11	7	12	0	13	7	8	3	11	3	13	16	6	14	12	12	11	19	14	2	7	4	4	7	12	13	13	17	18	14	26	9	13	2	10	14	3	0	22	31	20	13	2	6	11	13	6	14	13	24	1	18	5	11	8
ASV10020	0	0	3	0	0	0	0	0	0	1	0	17	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	1
ASV10021	3	2	2	4	6	6	6	3	4	1	1	10	3	8	0	1	3	0	2	1	1	1	3	1	2	1	1	3	1	4	2	2	0	1	2	1	2	0	5	3	2	2	0	2	0	4	0	0	6	5	0	0	0	0	1	1	1	0	3	0	1	0	0	2	1	1	5	9
ASV10022	0	3	1	0	0	2	0	1	0	2	0	1	6	1	0	0	0	1	0	0	1	1	0	0	0	0	0	1	2	2	0	0	0	1	2	0	0	0	2	0	0	1	0	0	2	3	0	0	2	0	0	1	0	1	0	1	3	0	0	1	0	0	0	5	0	0	0	0
ASV10023	0	0	2	6	1	2	1	0	1	1	2	0	2	0	4	0	0	0	0	0	1	0	0	0	3	2	1	2	0	1	5	0	0	2	1	0	0	1	0	0	2	0	0	0	0	1	0	0	2	0	0	0	0	1	2	0	1	0	0	0	3	0	2	1	0	0	1	0
ASV10024	0	1	0	1	1	0	0	0	1	0	3	2	2	0	1	1	1	3	0	1	3	1	0	0	4	1	1	0	5	0	1	0	0	3	0	0	4	0	0	0	0	1	0	1	1	1	0	2	2	2	0	1	0	1	1	2	1	0	0	2	0	0	0	1	1	2	2	2
ASV10025	1	3	1	1	1	0	0	1	1	0	2	2	6	1	2	1	1	2	0	1	1	0	1	0	1	0	0	0	1	0	1	0	1	2	1	1	0	0	0	0	0	0	0	1	0	5	0	1	9	1	0	3	0	3	3	0	5	1	0	1	1	0	0	6	0	0	0	1
ASV10026	0	2	0	0	0	4	1	0	2	4	4	0	0	0	1	4	2	2	1	0	6	2	3	0	0	2	0	2	1	0	1	2	1	1	0	0	3	1	1	2	3	2	0	2	2	0	0	1	1	1	0	0	0	1	2	5	0	1	2	1	1	2	1	2	1	0	0	0
ASV10027	0	1	3	0	0	3	0	0	2	0	1	2	4	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	1	0	0	2	0	0	1	0	2	1	0	0	0	4	0	7	0	0	2	0	0	0	0	1	1	0	6	0	0	1	0	0	4	3	0	0	3	0
ASV10028	1	0	1	2	1	3	1	0	0	0	0	0	0	1	1	1	0	1	0	1	3	2	2	0	1	1	0	1	2	3	0	1	1	0	0	1	1	1	2	3	0	4	0	1	0	0	0	0	2	0	0	2	1	0	0	1	1	0	0	0	0	0	1	1	0	2	0	0
ASV10029	0	0	3	0	2	1	1	0	0	3	0	0	1	0	1	2	0	1	1	0	1	1	0	0	2	0	2	1	0	2	2	0	0	0	0	2	1	1	0	0	1	2	0	2	0	0	0	2	0	0	0	1	1	0	2	1	0	0	1	0	1	1	0	0	1	0	0	1
ASV1003	8	15	1	17	6	10	13	3	3	16	6	11	26	25	24	14	2	10	6	23	30	2	10	31	10	27	17	6	15	11	6	13	0	7	0	0	0	8	17	18	1	14	1	12	6	13	3	3	15	1	0	11	10	4	13	11	22	6	7	24	3	2	13	17	17	14	16	4
ASV10030	0	3	4	0	3	2	0	0	4	0	1	5	0	0	2	0	0	2	2	0	0	0	0	0	0	1	1	1	1	0	1	0	0	1	0	0	5	0	0	1	1	0	0	3	0	3	2	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	3	0	0	1	0
ASV10031	4	0	0	0	0	2	1	0	1	0	1	2	5	1	0	0	2	0	0	0	1	0	0	2	0	1	0	0	1	2	0	0	0	1	0	0	0	0	5	0	0	3	0	0	1	3	0	0	3	0	0	2	0	0	0	0	1	0	0	1	0	0	1	3	0	0	1	1
ASV10032	1	0	0	0	0	1	2	2	1	0	0	1	0	0	1	3	0	1	0	1	4	0	1	1	1	0	1	1	1	0	0	2	0	0	0	2	0	2	0	6	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	1	1	6	0	0	1	0	2	1	0	1
ASV10033	0	0	0	0	3	0	0	2	0	2	0	0	0	0	1	0	2	0	3	3	0	6	1	1	1	0	0	0	1	1	1	0	2	2	1	0	2	0	1	1	3	1	0	0	0	0	1	0	0	0	0	0	1	2	0	2	0	1	0	1	0	0	0	0	0	0	1	0
ASV10034	0	0	1	1	0	0	2	2	2	3	0	0	0	1	0	0	0	1	0	0	1	1	1	2	1	2	1	0	0	0	0	0	0	0	0	1	0	1	1	0	3	0	5	0	0	0	2	4	2	0	0	0	0	0	0	0	0	2	1	0	1	4	0	0	1	3	3	3
ASV10035	0	0	0	0	0	1	0	0	1	0	1	1	3	3	0	0	0	1	0	0	0	0	0	8	0	10	3	3	1	0	0	0	3	0	0	0	0	0	4	0	0	0	0	2	1	1	0	1	4	0	0	0	0	0	1	0	2	0	2	3	1	0	1	3	0	0	0	0
ASV10036	0	0	0	0	0	0	1	4	0	2	1	1	1	1	1	3	1	2	2	0	0	2	0	0	2	0	2	0	0	0	2	2	0	1	0	0	0	3	0	0	1	1	0	1	0	0	0	2	0	0	0	1	3	0	0	2	0	0	0	1	1	0	3	0	0	2	0	0
ASV10037	0	0	3	0	0	2	2	4	1	4	0	0	0	0	0	1	0	1	3	0	0	0	1	0	3	0	0	0	1	1	4	0	0	0	0	0	0	1	0	0	2	0	0	1	1	0	0	0	1	0	0	0	2	2	0	0	0	3	1	1	0	1	1	0	1	1	1	4
ASV10038	0	1	0	2	0	1	1	0	0	2	0	0	0	0	0	1	1	2	0	2	2	1	1	0	1	1	1	2	0	0	0	2	0	1	0	1	2	0	0	0	1	0	0	4	1	0	0	3	0	3	0	1	2	2	1	0	0	0	0	0	4	1	0	1	0	0	0	0
ASV10039	2	0	0	1	2	2	0	1	0	0	0	1	0	0	1	0	0	2	6	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	0	0	0	1	6	1	0	6	1	0	8	0	0	0	0	0	0	1	0
ASV1004	1	8	11	9	7	11	10	5	8	9	5	2	4	13	4	8	10	5	15	10	12	9	12	14	2	11	20	5	4	3	11	10	14	7	5	17	18	15	9	17	21	4	31	2	7	5	13	71	9	25	0	10	14	5	13	4	13	16	9	12	5	24	9	7	12	10	9	5
ASV10040	2	1	1	0	0	1	1	0	0	0	4	0	4	0	1	0	1	0	0	2	4	0	2	0	1	2	2	0	1	0	1	1	0	1	1	3	3	0	1	0	0	2	0	0	3	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	4	0	0	3	0	1	0	1
ASV10041	0	2	0	0	1	0	2	2	1	0	0	1	1	1	0	0	0	4	0	2	1	0	2	0	4	1	0	1	0	2	0	1	0	0	1	1	0	0	0	2	2	0	0	0	0	0	0	0	1	0	0	0	3	1	0	2	0	1	1	0	0	0	0	0	0	2	0	1
ASV10042	0	0	0	1	0	1	2	2	1	1	2	0	0	0	3	0	1	2	3	0	2	4	0	1	0	1	1	0	0	0	2	0	0	0	1	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	2	0	1	0	3	0	1	4
ASV10043	0	2	3	0	0	1	0	0	0	1	1	1	0	2	1	2	0	0	0	0	3	0	3	3	1	3	1	0	1	1	4	2	0	0	1	1	0	0	0	0	0	0	0	2	0	3	1	2	1	0	0	0	2	2	0	3	2	5	2	0	0	0	0	0	0	1	1	0
ASV10044	0	1	6	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	2	2	2	1	0	3	0	2	2	0	0	2	1	0	0	0	1	3	0	0	0	2	2	0	2	0	0	0	6	0	0	0	3	3	0	0	1	3	0	0	0	3	0	0	0	0	5
ASV10045	0	0	0	1	0	1	0	1	1	2	0	0	0	0	3	0	0	0	1	0	1	4	0	0	2	1	1	1	0	0	0	4	1	0	0	1	0	3	1	1	1	1	0	4	0	0	1	0	0	1	0	0	2	1	0	2	0	3	0	2	1	0	0	0	1	0	0	0
ASV10046	1	0	1	1	0	1	0	0	0	2	0	1	1	0	0	0	1	1	1	2	0	0	1	3	2	1	1	1	0	0	0	0	0	1	1	1	3	0	1	0	1	2	1	2	0	0	3	2	0	2	0	0	2	0	1	1	1	2	1	1	0	1	0	0	0	0	0	0
ASV10047	0	1	0	0	1	0	2	0	0	0	0	2	0	0	0	1	1	5	2	1	0	0	1	2	0	3	0	0	0	1	3	3	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	1	1	1	3	0	0	0	0	0	0	1	0	0	1	0	0	0
ASV10048	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	2	0	0	0	1	0	0	0	1	0	1	5	1	0	0	0	0	4	1	0	0	0	0	0	2	5	0	1	0	0	0	2	2	0	0	0	1	2	0	0	1	0	1	0	2	0	1	0	2	1	1	1	2
ASV10049	0	0	1	0	1	1	0	0	0	0	0	6	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	5	0	0	5	0	0	0	0	0	0	0	5	0	0	2	0	0	1	5	0	0	1	0
ASV1005	0	0	0	30	1	4	1	0	0	0	3	42	28	0	1	0	0	4	41	1	10	1	0	2	2	12	0	1	143	177	1	1	0	3	8	0	2	1	2	1	19	63	4	0	3	9	4	0	12	0	0	5	0	1	32	17	6	4	1	7	0	0	7	19	4	2	3	1
ASV10050	0	0	0	2	0	0	1	2	1	2	0	1	0	0	1	2	1	1	5	2	1	0	1	0	0	1	1	0	0	0	3	4	1	1	0	1	0	1	0	1	0	2	5	0	2	0	1	1	0	0	0	1	2	0	0	1	0	0	1	2	2	0	0	0	0	0	0	2
ASV10051	0	1	0	0	1	1	3	0	0	0	1	3	1	0	0	0	0	0	2	1	1	0	0	1	1	0	1	1	0	1	1	0	0	1	4	1	1	0	2	3	0	3	0	1	0	1	1	0	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	2	0
